profile,study,cluster,tsf_form,operator_family,QA1_aims,QA2_mechanism_defined,QA3_ablation,QA4_repro,QA5_faithfulness,QA6_correction,QA7_family_scope,QA8_threats,review_total,rationale
Reviewer B - evidence-focused,D3PM,C1,None,none,1,1,0,1,0,0,0.5,1,4.5,Evidence-focused view: key metrics are PPL; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,DiffuSeq,C1,None,none,1,0.5,0,1,0,0,1,1,4.5,"Evidence-focused view: key metrics are BLEU, diversity; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,SEDD,C1,None,none,1,1,0,1,0,0,1,1,5.0,Evidence-focused view: key metrics are PPL; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,MDLM,C1,None (declined),none,1,1,1,1,0,0,1,1,6.0,Evidence-focused view: key metrics are PPL; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,LLaDA,C1,Optional remask,none,1,1,0,1,0,0,1,1,5.0,Evidence-focused view: key metrics are NLU acc.; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,Analog Bits,C2,PSC,PSC,1,1,1,1,0,0,0.5,1,5.5,Evidence-focused view: key metrics are FID/quality; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,TESS,C2,PSC (simplex),PSC,1,1,1,1,0,0,0.5,1,5.5,"Evidence-focused view: key metrics are BLEU, ROUGE; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,TREC,C2,RRC,RRC,1,1,0.5,1,0,0,0.5,1,5.0,"Evidence-focused view: key metrics are BLEU, MAUVE; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,FastDiSS,C2,PSC (few-step),PSC,1,1,0.5,1,0,0,1,1,5.5,"Evidence-focused view: key metrics are GenPPL, speed; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,Soft-Masked,C2,PSC sub-type,PSC-sub,1,1,1,1,0,0,0.5,1,5.5,Evidence-focused view: key metrics are PPL (iso-compute); faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,SCMDM,C2,PSC (post-train),PSC,1,1,0.5,1,0,0,1,1,5.5,Evidence-focused view: key metrics are GenPPL (OWT); faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,P2,C3,CPS,CPS,1,1,1,1,0,0,0.5,1,5.5,"Evidence-focused view: key metrics are pass@k, foldability; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,PAPL,C3,CPS (P-ELBO),CPS,1,1,1,1,0,0,1,1,6.0,"Evidence-focused view: key metrics are MAUVE, GenPPL; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,CDLM,C4,CTF,CTF,1,1,1,1,0,1,0.5,1,6.5,Evidence-focused view: key metrics are code revision (CRB); faithfulness is not directly measured.
Reviewer B - evidence-focused,ProSeCo,C4,CTF,CTF,1,1,1,1,0,1,0.5,1,6.5,"Evidence-focused view: key metrics are GSM8K, code; faithfulness is not directly measured."
Reviewer B - evidence-focused,PRISM,C4,CTF,CTF,1,1,0.5,1,0,1,0,1,5.5,Evidence-focused view: key metrics are provable correction; faithfulness is not directly measured.
Reviewer B - evidence-focused,TraceDet,C5,None varied,none,1,1,0.5,1,1,0,1,1,6.5,Evidence-focused view: key metrics are AUROC; correction behavior is not directly validated.
Reviewer B - evidence-focused,DynHD,C5,None varied,none,1,1,0.5,1,1,0,1,1,6.5,"Evidence-focused view: key metrics are AUROC, entropy; correction behavior is not directly validated."
Reviewer B - evidence-focused,Lost-in-Diffusion,C5,None varied,none,1,1,0.5,1,1,0,0.5,1,6.0,Evidence-focused view: key metrics are halluc. rate; correction behavior is not directly validated.
Reviewer B - evidence-focused,LangFlow,C6,PSC,PSC,1,1,1,1,0,0,1,1,6.0,"Evidence-focused view: key metrics are PPL, MAUVE; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,RDLM,C6,PSC,PSC,1,1,1,1,0,0,1,1,6.0,Evidence-focused view: key metrics are PPL; faithfulness is not directly measured; correction behavior is not directly validated.
Reviewer B - evidence-focused,FLM/FMLM,C6,Flow map,flow,1,1,0.5,1,0,0,1,1,5.5,"Evidence-focused view: key metrics are PPL, speed; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,DLM-One,C6,Flow map,flow,1,0.5,0.5,1,0,0,1,1,5.0,"Evidence-focused view: key metrics are PPL, 1-step speed; faithfulness is not directly measured; correction behavior is not directly validated."
Reviewer B - evidence-focused,LDDM,C7,PSC / latent,PSC,1,1,0.5,1,0,0,1,1,5.5,Evidence-focused view: key metrics are PPL; faithfulness is not directly measured; correction behavior is not directly validated.
